,x
100_g_at,-0.012713168
1000_at,-0.307693174
1001_at,0.208209033
1002_f_at,0.13906343
1003_s_at,0.064796573
1004_at,0.144311096
1005_at,-0.445706605
1006_at,0.527938456
1007_s_at,-0.273775802
1008_f_at,-0.115285097
1009_at,0.096305461
101_at,0.109221567
1010_at,0.111241561
1011_s_at,-0.885088325
1012_at,0.031106924
1013_at,0.13245335
1014_at,-0.010982874
1015_s_at,0.174617092
1016_s_at,0.078899591
1017_at,-0.087870653
1018_at,-0.041272491
1019_g_at,0.000948156
102_at,0.146735969
1020_s_at,0.131026594
1021_at,0.27394424
1022_f_at,0.317789921
1023_at,0.193177474
1024_at,0.146631472
1025_g_at,-0.035264435
1026_s_at,-0.040204885
1027_at,0.179263082
1028_at,0.059170669
1029_s_at,0.214976608
103_at,0.118191163
1030_s_at,-0.110487688
1031_at,0.4468215
1032_at,0.098038721
1033_g_at,0.1603355
1034_at,-0.588580919
1035_g_at,-0.655110123
1036_at,0.098896239
1037_at,0.009161552
1038_s_at,-0.351026206
1039_s_at,-1.053250091
104_at,0.123329519
1040_s_at,-0.11785143
1041_at,0.117351115
1042_at,0.148361514
1043_s_at,-0.040007288
1044_s_at,-0.093769952
1045_s_at,-0.513275513
1046_at,-0.087946245
1047_s_at,-0.524362179
1048_at,0.10374388
1049_g_at,0.087812502
105_at,0.182103982
1050_at,-0.072850831
1051_g_at,-0.247445812
1052_s_at,-0.877229215
1053_at,0.43824321
1054_at,0.065261231
1055_g_at,0.311363502
1056_s_at,0.236282647
1057_at,-0.824740585
1058_at,-0.276343004
1059_at,0.133255684
106_at,-0.200094974
1060_g_at,0.240407209
1061_at,0.155659638
1062_g_at,0.036810577
1063_s_at,-0.124704294
1064_at,-1.004544616
1065_at,0.304225496
1066_at,0.068124468
1067_at,0.097916241
1068_g_at,0.063049558
1069_at,-0.443761282
107_at,0.149876514
1070_at,0.212469886
1071_at,0.370529642
1072_g_at,0.35685071
1073_at,0.184257772
1074_at,0.012437399
1075_f_at,0.283393709
1076_at,0.357907578
1077_at,-0.012736883
1078_at,0.1264219
1079_g_at,0.018244892
108_g_at,0.085485114
1080_s_at,0.308724082
1081_at,0.290851825
1082_at,-0.165508455
1083_s_at,-0.004760675
1084_at,0.156883652
1085_s_at,0.021064974
1086_at,0.114165078
1087_at,0.141988022
1088_at,-0.116332351
1089_i_at,0.113553942
109_at,0.383095579
1090_f_at,0.374420596
1091_at,0.053318042
1092_at,0.022412378
1093_at,0.256458493
1094_g_at,0.040821288
1095_s_at,-0.005016906
1096_g_at,0.224544636
1097_s_at,0.1969963
1098_at,-0.021465481
1099_s_at,-0.131858783
110_at,-0.154474845
1100_at,0.232299304
1101_at,-0.087767116
1102_s_at,-0.088886492
1103_at,-0.540267417
1104_s_at,0.505193431
1105_s_at,-1.837974093
1106_s_at,0.094244865
1107_s_at,0.055468424
1108_s_at,-0.11042874
1109_s_at,0.001350373
111_at,-0.003628172
1110_at,0.121280022
1111_at,-0.056766331
1112_g_at,-0.010265216
1113_at,-0.198814329
1114_at,-0.207639056
1115_at,0.367473797
1116_at,0.318702393
1117_at,-0.034717662
1118_at,0.019911163
1119_at,0.32067999
112_g_at,0.27713468
1120_at,0.021240371
1121_g_at,0.012659287
1122_f_at,0.264498179
1123_at,0.194557204
1124_at,0.133608894
1125_s_at,-0.417935315
1126_s_at,-2.048990722
1127_at,0.054660153
1128_s_at,0.098798039
1129_at,0.324007138
113_i_at,0.371826338
1130_at,-0.101771103
1131_at,0.053879566
1132_s_at,0.011844008
1133_at,-0.003124816
1134_at,-0.090547036
1135_at,-0.394676103
1136_at,0.127273946
1137_at,-0.077594801
1138_at,0.063701595
1139_at,-0.140312044
114_r_at,0.096089902
1140_at,0.15009989
1141_at,0.189886064
1142_at,0.17371922
1143_s_at,0.075307894
1144_at,0.151665449
1145_g_at,0.02465674
1146_at,0.047679578
1147_at,-0.769563879
1148_s_at,0.209476385
1149_at,0.09427454
115_at,-0.102900055
1150_at,0.056619618
1151_at,0.24197961
1152_i_at,0.203808281
1153_f_at,0.127072596
1154_at,0.311507237
1155_at,-0.054110035
1156_at,0.181449933
1157_s_at,0.018027388
1158_s_at,-0.165502804
1159_at,-0.044622169
116_at,0.106014809
1160_at,0.399097918
1161_at,-0.01601754
1162_g_at,0.060796433
1163_at,0.27822193
1164_at,0.148643101
1165_at,0.288211606
1166_at,0.09328237
1167_s_at,-0.046082711
1168_at,0.262388059
1169_at,0.153084846
117_at,0.163460236
1170_at,0.026923625
1171_s_at,-0.064935339
1172_at,0.083638118
1173_g_at,-0.341029415
1174_at,0.296150615
1175_s_at,0.247714873
1176_at,0.030674627
1177_at,0.045648412
1178_at,-0.153375271
1179_at,-0.002438575
118_at,0.258803129
1180_g_at,0.125216985
1181_at,0.022819067
1182_at,0.435193403
1183_at,0.217747488
1184_at,-0.153061984
1185_at,0.049891447
1186_at,0.08440216
1187_at,0.114103044
1188_g_at,0.287358723
1189_at,0.156902831
1190_at,0.071967242
1191_s_at,0.249338452
1192_at,0.157255532
1193_at,-0.004677663
1194_g_at,0.035482001
1195_s_at,0.067066202
1196_at,0.191589497
1197_at,-0.062628532
1198_at,-0.123490655
1199_at,-0.101185088
120_at,-0.47077862
1200_at,0.180905209
1201_at,0.003781857
1202_g_at,0.062065979
1203_at,0.230485401
1204_at,0.186085884
1205_at,0.412449874
1206_at,-0.008914483
1207_at,0.335991354
1208_at,0.034476933
1209_at,0.077369284
121_at,0.003131279
1210_s_at,0.115449161
1211_s_at,0.924901813
1212_at,0.133511508
1213_at,-0.055349718
1214_s_at,0.255556644
1217_g_at,1.099354327
1218_at,0.03024862
1219_at,-0.051569264
122_at,-0.071422009
1220_g_at,-0.168558984
1221_at,-0.199634719
1222_at,0.010837453
1223_at,0.032983378
1224_at,-0.487364115
1225_g_at,-0.494111969
1226_at,0.11275986
1227_g_at,0.042383587
1228_s_at,-0.293571008
1229_at,-0.304372283
123_at,-0.021513025
1230_g_at,-0.194206381
1231_at,0.119885557
1232_s_at,-2.146433011
1233_s_at,-0.0220928
1234_at,0.005406528
1235_at,-0.30643643
1236_s_at,0.010704266
1237_at,-0.936074778
1238_at,0.01772542
1239_s_at,0.008153203
1240_at,0.276012071
1241_at,0.065993922
1242_at,-0.190410058
1243_at,-0.670647976
1244_at,-0.101896444
1245_i_at,-0.355333599
1246_at,-0.040245185
1247_g_at,-0.099397193
1248_at,0.313751332
1249_at,0.276589547
1250_at,0.050685975
1251_g_at,0.343000681
1252_at,-0.397039059
1253_at,-0.032389196
1254_at,0.085376788
1255_g_at,0.126302766
1256_at,0.073893282
1257_s_at,-0.359491144
1258_s_at,0.185849125
1259_at,-0.023561499
126_s_at,2.24092418
1260_s_at,0.125184401
1261_i_at,-0.164718249
1262_s_at,-0.141210979
1263_at,-0.005985472
1264_at,0.081972129
1265_g_at,0.021162607
1266_s_at,0.038504674
1267_at,0.068511996
1268_at,-0.425910479
1269_at,0.190041984
1270_at,0.098020083
1271_g_at,-0.161613305
1272_at,0.227909857
1273_r_at,0.195029262
1274_s_at,0.122659276
1275_at,-0.002087543
1276_g_at,-0.441436446
1277_at,-0.197032382
1278_at,-1.700766525
1279_s_at,-0.038862107
128_at,-0.053626855
1280_i_at,-0.02942569
1281_f_at,0.264165725
1282_s_at,-0.084607994
1283_at,-0.10368058
1284_at,-0.255812276
1285_at,0.338572293
1286_s_at,0.155934341
1287_at,0.051822361
1288_s_at,-0.050705431
1289_at,0.169169464
129_g_at,-0.041925617
1290_g_at,0.15748322
1291_s_at,-0.075684588
1292_at,-0.063064438
1293_s_at,0.283996989
1294_at,-0.014570797
1295_at,-0.105479386
1296_at,0.021360302
1297_at,0.075843972
1298_at,-0.094275825
1299_at,-0.061313278
130_s_at,0.138990657
1300_at,0.286374662
1303_at,0.256840775
1304_at,0.101962198
1305_s_at,0.008942338
1306_at,-0.095566852
1307_at,0.654520767
1308_g_at,0.189101063
1309_at,0.657648568
131_at,0.212445533
1310_at,0.282503307
1311_at,0.114564411
1312_at,0.367191773
1313_at,0.283785167
1314_at,0.142377457
1315_at,0.048930134
1316_at,0.115528469
1317_at,-0.033605213
1318_at,-0.122346227
1319_at,-0.436919872
1320_at,0.137453785
1321_s_at,-0.197712087
1322_at,0.057111672
1323_at,0.07029825
1324_at,0.243455927
1325_at,-0.51830553
1326_at,0.170325958
1327_s_at,0.312046172
1328_at,-0.036079989
1329_s_at,0.011282953
133_at,0.054760947
1330_at,0.145238232
1331_s_at,0.142482174
1332_f_at,0.204785221
1333_f_at,-0.101499276
1334_s_at,0.227596476
1335_at,-0.184666826
1336_s_at,0.918687219
1337_s_at,-0.064825725
1338_s_at,0.331190998
1339_s_at,0.021899394
134_at,0.029759691
1340_s_at,0.015850899
1341_at,0.080242958
1342_g_at,-0.207933772
1343_s_at,-0.145220635
1344_at,0.140880062
1345_s_at,0.161293277
1346_at,0.039330734
1347_at,-0.451922352
1348_s_at,-0.411272626
1349_at,-0.014331711
135_g_at,-0.164466751
1350_at,-0.00585556
1351_at,0.041159949
1352_at,0.091484348
1353_g_at,0.165296616
1354_at,0.145176204
1355_g_at,0.049744132
1356_at,0.509804206
1357_at,-0.085948191
1358_s_at,-0.347037307
1359_at,-0.044031719
136_at,0.1522384
1360_at,0.232801315
1361_at,-0.057473034
1362_s_at,-0.051749726
1363_at,-0.02086838
1364_at,-0.800350715
1365_at,0.064014142
1366_i_at,-0.124107502
1367_f_at,-0.192048819
1368_at,-0.623149006
1369_s_at,-0.568821387
137_at,1.433648547
1370_at,0.080040638
1371_s_at,0.244243686
1372_at,-0.040646854
1373_at,0.191270984
1374_g_at,0.04691117
1375_s_at,-0.835056429
1376_at,0.18336165
1377_at,-0.125479435
1378_g_at,0.009996392
1379_at,-0.212470721
138_at,0.007854155
1380_at,0.117633633
1381_at,0.23341193
1382_at,-0.162169125
1383_at,0.067351953
1384_at,0.209179978
1385_at,-2.06231232
1386_at,-0.039179307
1387_at,0.123161729
1388_g_at,-0.301056106
1389_at,0.034153714
139_at,0.080016571
1390_s_at,0.130704022
1391_s_at,0.123668197
1392_at,0.130566347
1393_at,0.131053433
1394_at,-0.063106419
1395_at,0.07705913
1396_at,-1.397387166
1397_at,-0.070650935
1398_g_at,-0.169950826
1399_at,0.354948634
140_s_at,0.05224993
1400_at,0.251790763
1401_g_at,0.019056573
1402_at,0.785264752
1403_s_at,0.229533615
1404_r_at,-0.009201028
1405_i_at,0.116551301
1406_at,-0.01101659
1407_g_at,0.063116802
1408_at,-0.126463053
1409_at,0.015867394
141_s_at,0.032162013
1410_at,0.057184367
1411_at,0.200330305
1412_g_at,0.255540122
1413_at,0.170572378
1414_at,0.118264781
1415_at,0.12006046
1416_g_at,0.138291165
1417_at,0.170505052
1418_at,0.154563242
1419_g_at,0.089828305
142_at,-0.162235681
1420_s_at,-0.228080739
1421_at,-0.172927656
1422_g_at,0.113273235
1423_at,0.057519225
1424_s_at,0.363610384
1425_at,0.231101971
1426_at,-0.044143261
1427_g_at,-0.160383336
1428_at,0.132656267
143_s_at,0.180792932
1430_at,0.185618065
1431_at,0.078213775
1432_s_at,0.126953553
1433_g_at,0.043225653
1434_at,0.022038337
1435_f_at,0.197934497
1436_at,-0.032070915
1437_at,-0.042873168
1438_at,0.016176894
1439_s_at,-0.297042395
144_at,-0.005156276
1440_s_at,-0.143712499
1441_s_at,-0.206772629
1442_at,0.185827892
1443_at,-0.36092124
1444_at,0.296102797
1445_at,0.199952129
1446_at,0.290701687
1447_at,0.602671282
1448_at,0.319629975
1449_at,0.475382241
145_s_at,0.07941588
1450_g_at,0.417133156
1451_s_at,-0.812438402
1452_at,-0.00579472
1453_at,-0.348783873
1454_at,-0.12123442
1455_f_at,0.062698182
1456_s_at,-1.701779444
1457_at,-0.212532139
1458_at,-0.066432382
1459_at,0.247456385
146_at,-0.036139332
1460_g_at,0.428758468
1461_at,-0.333285053
1462_s_at,0.144407368
1463_at,-0.216817087
1464_at,0.186054338
1465_s_at,0.043451325
1466_s_at,0.068443988
1467_at,-1.507063246
1468_at,0.490964933
1469_at,-0.019139708
147_at,0.02422746
1470_at,0.030115808
1471_at,0.216440183
1472_g_at,0.204772382
1473_s_at,0.521068405
1474_s_at,0.384477426
1475_s_at,0.200146685
1476_s_at,0.228109079
1477_s_at,0.212286497
1478_at,-1.059809059
1479_g_at,-0.293659723
148_at,-0.185912127
1480_at,0.402453222
1481_at,0.029332483
1482_g_at,0.153127939
1483_at,-0.076729171
1484_at,0.062724583
1485_at,0.042150075
1486_at,0.151755092
1487_at,0.168186636
1488_at,-1.660230738
1489_s_at,0.215481421
149_at,0.267410975
1490_at,0.447293026
1491_at,-1.259653319
1492_f_at,0.096635
1493_r_at,-0.033368052
1494_f_at,0.015766232
1495_at,-0.707356788
1496_at,-0.15032821
1497_at,0.124197335
1498_at,-0.476846745
1499_at,0.131115491
150_at,0.296271962
1500_at,1.095383054
1501_at,0.36520553
1503_at,-0.11974421
1504_s_at,0.082702537
1505_at,0.170802251
1506_at,-0.166241563
1507_s_at,-0.015851475
1508_at,0.048911157
1509_at,0.271211493
151_s_at,-0.172850034
1510_g_at,-0.009403914
1511_at,0.001932113
1512_at,0.182302941
1513_at,0.171110236
1514_g_at,0.274436361
1515_at,-0.00708345
1516_g_at,0.228475634
1517_at,0.093315948
1518_at,-0.102488095
1519_at,-0.290957203
152_f_at,0.215844664
1520_s_at,-0.039969717
1521_at,0.369750972
1522_at,0.116024445
1523_g_at,-0.080005273
1524_at,0.008807746
1525_s_at,0.385580216
1526_i_at,0.300594434
1527_s_at,-0.429908359
1528_at,0.261409316
1529_at,0.086998538
153_f_at,1.219066409
1530_g_at,-0.006397735
1531_at,-0.018245143
1532_g_at,-0.123762045
1533_at,-0.039444476
1534_at,0.094597426
1535_at,-0.218363561
1536_at,0.077781799
1537_at,-0.543474298
1538_s_at,0.138777109
1539_at,0.031632601
154_at,0.075932585
1540_f_at,0.008335419
1541_f_at,0.058775187
1542_at,0.144688712
1543_at,0.222708404
1544_at,0.40231672
1545_g_at,0.148906964
1546_at,-0.452820153
1547_at,0.054553901
1548_s_at,0.233873393
1549_s_at,0.095214795
155_s_at,-0.010883531
1550_at,0.236706833
1551_g_at,0.292908718
1552_i_at,-0.025029424
1553_r_at,-0.035998993
1554_f_at,-0.007713385
1555_f_at,0.014624713
1556_at,-0.068328584
1557_at,-0.335480508
1558_g_at,-0.694450631
1559_at,-0.044228374
156_s_at,-0.178572295
1560_g_at,-0.190221364
1561_at,0.219464421
1562_g_at,0.057961741
1563_s_at,-0.43796588
1564_at,-0.264931978
1565_s_at,0.161377125
1566_at,0.121292272
1567_at,0.073563802
1568_s_at,0.053950568
1569_r_at,0.256088413
157_at,1.032076367
1570_f_at,0.144548185
1571_f_at,-0.911929035
1572_s_at,-0.073056504
1573_at,-0.018250342
1574_s_at,0.077112878
1575_at,0.19651876
1576_g_at,0.111168738
1577_at,-0.017240825
1578_g_at,0.183257825
1579_at,0.163241534
158_at,0.050424445
1580_f_at,0.138495527
1581_s_at,-0.190260011
1582_at,-0.220217499
1583_at,0.591869588
1584_at,0.224616805
1585_at,-1.751824312
1586_at,-2.039602508
1587_at,-0.140367827
1588_at,-0.00608381
1589_s_at,-0.097957499
159_at,-0.867390249
